scheduled_start,elap_time,node_name,status.results
2022-07-24 18:30:00,0 01:13:28,HNAFTPPS01,Completed,0
2022-07-24 18:30:00,0 00:44:21,HNAPXWCMMAPP01,Completed,0
2022-07-24 18:30:00,0 00:51:43,HNAPXWCMMESS01,Completed,0
2022-07-24 18:30:00,0 01:27:03,HNAPXWCMMSQL01,Completed,0
2022-07-24 18:30:00,0 01:09:48,HNAPXWCMMSQL02,Completed,0
2022-07-24 18:30:00,0 00:48:14,HPTPXWEPIDB01,Completed,0
2022-07-24 18:30:00,0 00:14:40,P1HNADCWCMMDB01,Completed,8
2022-07-24 19:00:00,0 01:10:49,D3HNADCWCMSCS01,Completed,8
2022-07-24 19:00:00,0 00:23:13,D3HNADCWCMSDB01,Completed,8
2022-07-24 19:00:00,0 08:15:53,D3HNADCWCMSFT01,Completed,8
2022-07-24 19:00:00,0 00:25:12,D3HNADCWCMSWB01,Completed,8
2022-07-24 19:00:00,0 01:17:18,HNADXWCMMAPP01,Completed,0
2022-07-24 19:00:00,0 00:59:39,HNADXWCMMESS01,Completed,0
2022-07-24 19:00:00,0 00:53:52,HNADXWCMMSQL01,Completed,0
2022-07-24 19:00:00,0 00:41:50,HPTDXWEPIDB01,Completed,0
2022-07-24 19:00:00,0 00:59:15,HNAQXWCMMAPP01,Completed,0
2022-07-24 19:00:00,0 01:06:21,HNAQXWCMMESS01,Completed,0
2022-07-24 19:00:00,0 00:51:05,HNAQXWCMMSQL01,Completed,0
2022-07-24 19:00:00,0 00:56:45,HNAQXWCMMSQL02,Completed,0
2022-07-24 19:00:00,0 00:16:54,HNAPXWCMMAPO01,Completed,8
2022-07-24 19:00:00,0 00:32:24,HNAPXWCMMDBA01,Completed,8
2022-07-24 19:00:00,0 01:14:11,HNATOR02,Completed,8
2022-07-24 19:00:00,0 00:56:46,HPTTOR01,Completed,8
2022-07-24 19:00:00,0 00:12:23,P1HNADCWCMSFT01,Completed,0
2022-07-24 19:00:00,0 00:13:56,P1HNADCWCMSWB01,Completed,8
2022-07-24 19:00:00,0 00:17:28,P1HNADCWCMSDB01,Completed,8
2022-07-24 19:00:00,0 00:15:16,Q3HNADCWCMMDB01,Completed,8
2022-07-24 19:00:00,0 00:56:43,AHMPXWLBOAPP01,Completed,0
2022-07-24 19:00:00,0 00:59:30,AHMDXWLBOAPP01,Completed,0
2022-07-24 20:00:00,0 00:37:23,AHMPXWMBVWWEB01,Completed,0
2022-07-24 22:00:00,0 01:13:51,HNAPXWLBOSQL01,Completed,0
2022-07-24 22:00:00,0 00:54:14,P1HNADCWCMSCS01,Completed,8
2022-07-26 19:00:00,0 01:08:22,D3HNADCWCMSCS01,Completed,8
